feauture,word,0,1,2,3,4,diff,other
animal,fire,0.139337554414302,0.0100962472471768,0.131958201858774,0.0511992778529857,0.076597261873482,0.0718748072061972,0.0674627472081046
color,fire,0.0992511792354147,0.0596644288338349,0.02694103889815,0.00951317843571827,0.0137172172338042,0.0717922133850379,0.0274589658503768
light,fire,0.401881738837693,0.377823297558712,0.251805066772143,0.444202702398804,0.285171982947508,0.0621309764184017,0.339750762419292
fire,fire,0.566681255151686,0.550547750182446,0.43203081325395,0.630923943199507,0.42041776171296,0.0582011880644704,0.508480067087216
burn,fire,0.405276013898473,0.400127550176158,0.18074852564846,0.496949878060679,0.329138223267021,0.053534969610394,0.351741044288079
shine,fire,0.11218776507197,0.0482686565537539,0.0868440701545617,0.0887194199848423,0.0264055899562409,0.0496283309096204,0.0625594341623497
hot,fire,0.42197378482279,0.417883493425457,0.18778975313827,0.537550913694872,0.354147391742836,0.0476308968224315,0.374342888000359
leg,fire,0.0314045712728044,-0.0137015027997829,-0.0570749459605082,0.0485958266342301,-0.038521772114649,0.0465801698329819,-0.0151755985601775
long,fire,0.033840450798031,-0.0255903306083031,0.0127228234700463,-0.0076752295253575,-0.0168104342047581,0.0431787435151241,-0.00933829271709311
eat,fire,0.0317233811147908,0.00505019401720305,-0.0273159795493048,0.0735105327740961,-0.0914058526668626,0.0417636574710079,-0.0100402763562171
white,fire,0.0566472133118137,0.0186368067120395,-0.00537039373110709,0.0396486400994234,0.0143771497215842,0.0398241626113287,0.016823050700485
bird,fire,0.0269797946746854,-0.0131402416942574,-0.00866343238702443,-0.028056775238477,0.00382215918841718,0.0384893672075208,-0.0115095725328354
small,fire,0.0375245889808865,-0.0518948200927973,0.0268014559735529,0.0785288835795525,-0.0568800904929004,0.0383857317390345,-0.000861142758148054
fly,fire,0.0555496743101062,0.0269169718777925,0.0104659915470462,-0.015191607779241,0.0480485075159766,0.0379897085197126,0.0175599657903936
school,fire,0.0252204516202109,-0.011972871355996,0.0227688549205976,-0.0369246870890049,-0.0248601421588704,0.0379676630410293,-0.0127472114208184
hard,fire,0.0424700170540432,0.0260243328022011,0.0307076654895242,-0.0209557848800259,-0.011958644709621,0.0365156248785236,0.0059543921755196
red,fire,0.260693210875748,0.245068458577541,0.177399119226158,0.226638514287778,0.253730892759762,0.0349839646629379,0.22570924621281
bright,fire,0.209927962982649,0.186905541044453,0.142892154832855,0.224923660383405,0.149649197251259,0.0338353246046563,0.176092638377993
strong,fire,0.0474019059185662,-0.00957252949615582,0.00939583019868609,0.0453111213229425,0.014637132264297,0.0324590173461238,0.0149428885724425
feather,fire,0.048078880049661,0.0205028217582668,0.0115554199990366,0.00558133746700339,0.0266953634112547,0.0319951443907706,0.0160837356588904
heat,fire,0.289154229217114,0.279721808147357,0.130320463702718,0.39392396426143,0.230654303078089,0.030499094419716,0.258655134797398
wing,fire,0.0429061982941956,0.0147701627105385,0.0100553577238331,-0.00257110051572432,0.0279141921674598,0.0303640452726689,0.0125421530215268
silver,fire,0.020031941048842,-0.0189265170610131,0.00420606899680931,0.00080251253835662,-0.0236313528624792,0.0294192631459236,-0.0093873220970816
expense,fire,0.0600987898175509,0.0369911752050809,0.0307000657796513,0.0266745328064817,0.0286249948457108,0.0293510976583197,0.0307476921592312
sun,fire,0.177729312425608,0.160001312815062,0.122941142665388,0.200789993435046,0.111043041116214,0.0290354399176805,0.148693872507928
object,fire,0.180536934376442,0.157247184504889,0.211406942678542,0.114482440922409,0.124909412213205,0.0285254392966814,0.152011495079761
size,fire,0.0303781028586502,0.0110169722988287,-0.0114664898942219,0.0300585166178688,-0.0221343501249392,0.0285094406342661,0.00186866222438411
cook,fire,0.264963401723109,0.252069000418043,0.107830341798757,0.36396897412141,0.22306351970327,0.0282304427127388,0.23673295901037
feel,fire,0.0521539862387905,0.00337778330398834,0.0548006366051069,0.00324172263592762,0.0359760755694719,0.0278049317101668,0.0243490545286237
end,fire,0.0377704577324659,-0.0206707269273105,0.0801968561324467,-0.00317064630860113,-0.015179439762434,0.0274764469489406,0.0102940107835253
more,fire,0.0185707084036098,-0.0128808034620479,-0.00715293453299555,0.0290916525519044,-0.0445632167203015,0.02744703394447,-0.00887632554086014
jewel,fire,0.0175549221072709,-0.00941718669290191,-0.0153696434474598,-0.00419061682767717,-0.00413532362756941,0.025833114756173,-0.00827819264890207
want,fire,0.0667422830637197,0.0525943069853964,0.0135444832283577,0.0588274893766037,0.0395315836475207,0.0256178172542501,0.0411244658094696
element,fire,0.0432760060462542,0.0151702580761681,0.010020386068824,0.0373677445202321,0.00868795098237212,0.0254644211343552,0.0178115849118991
head,fire,-0.0399362306048213,-0.0778372818124216,-0.0551213014729737,-0.0624471028330571,-0.0631980117950033,0.0247146938735427,-0.0646509244783639
up,fire,0.07339241213021,0.0496169239356361,0.0333955014279634,0.00262958575975215,0.110126679615463,0.0244502394455064,0.0489421726847036
gas,fire,0.176963793942014,0.154080343009239,0.112670917105791,0.219471528370118,0.124858501539311,0.0241934714358991,0.152770322506115
beauty,fire,0.068096851526504,0.0443635739123655,0.0458476622511362,0.0341495383408688,0.0536993988644758,0.0235818081842924,0.0445150433422116
love,fire,0.0581808547109853,0.0237532556257163,0.0439979792495595,0.0371554921243152,0.033749801599819,0.0235167225611328,0.0346641321498525
rock,fire,0.00630241018439107,-0.013589139960912,-0.0441967963208605,0.0318191742930124,-0.0421101588943161,0.0233216404051601,-0.017019230220769
excite,fire,0.0281007249364741,0.00831091253653062,0.0143110391619143,-2.27045237007721e-05,-0.00231389068178722,0.0230293858132349,0.00507133912323924
own,fire,0.0517088156060554,0.0393934680380108,0.0431227489243785,0.00098998317725804,0.0330759519121902,0.022563277593096,0.0291455380129594
blue,fire,0.127116967806633,0.118523776046938,0.0810049845321731,0.123033746721963,0.0959272849584578,0.0224945197417503,0.104622448064883
gold,fire,0.0242303052013772,-0.00156354316734808,0.00497782136831535,-0.00146495067566759,0.00528779058433555,0.0224210256739684,0.00180927952740881
chemical,fire,0.0248641120051464,-0.00313844620026269,0.0177166737547882,0.00489562218556985,-0.00934854062240171,0.022332784725723,0.00253132727942342
gray,fire,0.0687939093674471,0.059170740527154,0.0136876021776092,0.0672654096924542,0.0460309355178783,0.0222552373886731,0.046538671978774
possess,fire,0.0299932345705357,0.0092893375280651,0.0124782461050611,-0.00095801719964618,0.0102711222538135,0.0222230623987123,0.00777017217182339
grow,fire,0.00762810885013443,0.00311032562091262,-0.0183584371331073,-0.0141820994344586,-0.0279416359804015,0.0219710705818981,-0.0143429617317637
wood,fire,0.254521346771962,0.224663556260841,0.1475749027088,0.386417868975217,0.172264918186515,0.0217910352391189,0.232730311532843
season,fire,0.00819604305123583,-0.0184909788574138,-0.00114981106267938,-0.00560134062909307,-0.028337158197702,0.0215908652379579,-0.0133948221867221
store,fire,-0.0243631944248085,-0.0551024394933357,-0.0139700486815583,-0.0525306380966317,-0.0618324748045505,0.0214957058442105,-0.0458589002690191
taste,fire,-0.00429619521314994,-0.00454636487865335,-0.0294474091088121,-0.0288831153891718,-0.0381867005438407,0.0209697022669695,-0.0252658974801195
weigh,fire,-0.00308809148944622,-0.0313005320433756,-0.00925822874246361,-0.0309103038276532,-0.0246386576916219,0.0209388390868323,-0.0240269305762786
meat,fire,0.0403152299485833,0.0216373024860101,-0.00223745115338589,0.0551809228130516,0.00341076172890732,0.0208173459799375,0.0194978839686458
table,fire,0.020399821257664,0.00279300808820535,-0.0133988489956641,0.0217150346795006,-0.0116073192296358,0.0205243526220625,-0.000124531364398512
smell,fire,0.114836833168592,0.126705568279104,0.0193918644557902,0.135435845812698,0.0964686699113936,0.0203363460538458,0.0945004871147462
teach,fire,-8.89984141261724e-05,-0.0380580829727158,0.0262527361450557,-0.0399941404831095,-0.0294667308417623,0.0202275561240068,-0.0203165545381329
buy,fire,0.0231286452606275,0.00595184556030598,0.00819505036371688,-0.00831016526210002,0.00646899546889456,0.0200522137279231,0.00307643153270435
sit,fire,0.00406634984191112,-0.0335661559319925,-0.0244158360795134,0.022667112629992,-0.0277066975071268,0.0198217440640713,-0.0157553942221602
sky,fire,0.0608472799452644,0.0519441789638323,0.0385551058872227,0.03125495698861,0.0429715044722278,0.0196658433672912,0.0411814365779732
write,fire,0.0270951326256981,0.0106558994751156,0.00356592625395416,0.0171338751485722,-8.23877072116883e-05,0.0192768043330905,0.00781832829260756
brown,fire,0.050475822362675,0.0346509069166052,0.0205202520200257,0.0970643491815565,-0.0267218877197701,0.0190974172630707,0.0313784050996043
flavor,fire,0.0293038880773977,0.011835937271823,-0.0139066310988893,0.0298633049274625,0.0144537961556034,0.0187422862633978,0.0105616018139999
insect,fire,0.00777982951341681,-0.00212149993569904,-0.0178092605160073,-0.00068315388759705,-0.023166783178896,0.0187250038929667,-0.0109451743795499
book,fire,0.0448823598838412,0.0455304064880083,0.00953719341687197,0.055416703279218,-0.00497087016401523,0.0185040016288204,0.0263783582550208
decorate,fire,0.0328379429218042,0.0123761142099917,-0.00406300141035609,0.0392120811752861,0.00981239467909648,0.0185035457582996,0.0143343971635046
green,fire,0.0303291932013937,0.0341367294400037,0.00349851229878967,0.0167266101550773,-0.0054961949568552,0.0181127789671398,0.0122164142342539
comfort,fire,-0.00429404275240472,-0.0281326111841328,-0.0184821166795746,0.00654697206427671,-0.0492881651265017,0.0180449374790784,-0.0223389802314831
reflect,fire,0.0429828375074532,0.022236722690672,0.0341039324978429,0.0439171510520025,-0.00046765584446773,0.0180352999084408,0.0249475375990124
beak,fire,0.0290482055553069,0.010791324486422,-0.00038417467039987,0.0025934430670492,0.0315816689531143,0.0179026400962605,0.0111455654590464
four,fire,0.0240790348756424,-0.0158406951869911,-0.0170415505139937,0.054779053590157,0.00318634667052895,0.0178082462357171,0.00627078863992531
power,fire,0.0596501795046253,0.0219776015289819,0.088037220388448,0.0306242611761055,0.0274606188520074,0.0176252540182396,0.0420249254863857
warm,fire,0.17694124865417,0.163796707500218,0.0735787496677337,0.268295957296425,0.132223738720054,0.017467460358062,0.159473788296108
sense,fire,0.0829046401687114,0.0805624998480905,0.0286890625778086,0.0749460151598274,0.0780032265109469,0.017354439144543,0.0655502010241684
smart,fire,0.0145039884653833,-0.00401223862184279,0.00172933696761447,-0.0112908035059014,0.0024245438937189,0.017291278781986,-0.0027872903166027
item,fire,0.00931704490636775,-0.00477519829673018,0.00568674767500276,-0.0093030402675073,-0.023406141004577,0.0172664528798207,-0.00794940797345294
happy,fire,0.0170896356779354,-0.0286324110544767,0.0334045592066718,-0.0181680760938662,0.0130495515679423,0.0171762297713676,-8.65940934322096e-05
skin,fire,0.0125881012948807,0.00164603794255688,-0.0547257538454799,0.0137975284320843,0.0213105378451418,0.0170810137013049,-0.00449291240642422
flame,fire,0.165378618581639,0.171272418601465,0.093252570043568,0.188394488593972,0.140822822970733,0.016943043529204,0.148435575052435
large,fire,0.0753889409890946,0.0735808712391304,0.032545847312389,0.0711712085342526,0.057016228381754,0.0168104021222131,0.0585785388668815
