feauture,word,0,1,2,3,4,diff,other
person,fire,0.06262703728862,0.238627557087164,0.0311033035396635,0.207613021257224,0.392770610171665,0.257777880378497,0.134992729793168
place,fire,0.0151172760169473,0.0548420840094892,-0.0700114061636127,0.0813858505590633,0.115131464808466,0.0947980137029938,0.0203334511054718
work,fire,0.0347886102893911,0.0373944987243382,0.0773857913117749,0.0047463929321232,0.131340777732947,0.0927619544185397,0.0385788233144069
office,fire,-0.0120061248620963,-0.0125697139048309,0.0168705638489842,-0.0407293281077238,0.0750160623425694,0.0871247130989861,-0.0121086507564167
law,fire,-0.0076398978978013,0.0115829364823926,-0.00766612217182744,-0.00671014442819409,0.0838489078001163,0.0864572148039739,-0.00260830700385756
help,fire,-0.0187609026931405,-0.0584796400727563,0.00366776314803693,-0.0610696419736478,0.0444031927666971,0.078063798164574,-0.0336606053978769
group,fire,0.0137552647223617,0.0177843646422366,0.0236937921201716,0.0346938767557539,0.0933161925099781,0.0708343679498472,0.022481824560131
up,fire,0.07339241213021,0.0496169239356361,0.0333955014279634,0.00262958575975215,0.110126679615463,0.0703680738020724,0.0397586058133904
police,fire,0.0318643632407732,0.0285719343718904,0.174098188014054,0.00223838206101363,0.127094959892132,0.0679017429701996,0.0591932169219328
area,fire,0.00488952158700407,0.0455375995777737,0.0559200358240992,-0.010986563691238,0.0913309534129284,0.0674908050885187,0.0238401483244097
city,fire,0.00661719305828129,0.0261290726882092,0.0193052187419484,-0.0105094991855766,0.0749119489121815,0.064526452586466,0.0103854963257156
transport,fire,-0.0314808848508694,-0.0310966154826549,-0.0174873571666448,-0.0103390542763709,0.0399416085963372,0.0625425865404722,-0.022600977944135
water,fire,0.128848114272626,0.0941075566077571,0.147752374574533,0.122253957585839,0.184307663989878,0.0610671632296891,0.123240500760189
crime,fire,0.0265416190050069,0.073738502175028,0.142213229809944,0.00882920928146027,0.119065623579872,0.0562349835120125,0.0628306400678599
vehicle,fire,0.00313087635626225,0.0142349972270789,0.0388064375140611,-0.00204304625987059,0.066644149955771,0.0531118337463881,0.0135323162093829
govern,fire,0.00101683341514792,0.00320683359539331,-0.00495731214675371,-0.00514286995860571,0.0497681915282489,0.0512373203019534,-0.00146912877370455
hospital,fire,0.0116422200700588,0.0211944714379053,-0.00637487486162632,0.0236731602476798,0.0633000680413479,0.0507663238178435,0.0125337442235044
type,fire,0.0197146505457693,0.00791112725895979,0.0681111737490927,0.00168000646131223,0.0729582104969144,0.0486039709931309,0.0243542395037835
medic,fire,0.0120597295548233,-0.00570617215466455,0.00255152309534161,-0.00330559603027121,0.0498266318291687,0.0484267607128614,0.00139987111630729
swim,fire,-0.0344311174497794,-0.0267054445128366,-0.003982929033969,-0.0362683349571825,0.0186723255437888,0.0440192820322307,-0.0253469564884419
town,fire,-0.00554554808040062,0.0127443781671215,-0.0052378222532153,0.00200746717742575,0.044001983702111,0.0430098649493782,0.000992118752732845
force,fire,0.0460751823629227,0.081139042368437,0.188787431327497,-0.00163823293118514,0.120893093063263,0.042302237281345,0.0785908557819178
down,fire,0.0365906194705582,0.0537962960922957,0.0746122265861067,-0.029771579336845,0.0754884200780663,0.0416815293750374,0.0338068907030289
heal,fire,0.00361269967467732,0.00366861645571965,-0.0106110248944706,0.00498275383875282,0.042086994034936,0.0416737327662662,0.00041326126866979
wear,fire,-0.112046044955876,-0.110232788397251,-0.02633703205611,-0.159766969180437,-0.0608885359203154,0.0412071727271031,-0.102095708647419
body,fire,0.138211656513422,0.109956951642172,0.16462395791039,0.0577168538948486,0.158324334447075,0.0406969794568669,0.117627354990208
study,fire,-0.0127390193673477,-0.0360706761006361,-0.00971117678622295,-0.0276879431662249,0.0184373074390224,0.0399895112941303,-0.0215522038551079
sick,fire,0.0558242521365899,0.0822091586563753,0.02543620272359,0.0474468959412521,0.0926666315137235,0.0399375041492716,0.0527291273644518
sport,fire,0.0185797880325369,0.00655577741574891,0.0288755251649508,0.0048540090591669,0.053338618402763,0.0386223434846622,0.0147162749181009
breath,fire,0.067643564217788,0.0752361180114056,0.0482762245682149,0.0341146667254534,0.0940725909912203,0.0377549476105048,0.0563176433807155
nose,fire,-0.00365760209723058,-0.007959223775825,0.0279236142275425,-0.0269490120733892,0.0350637889412922,0.0377243448710178,-0.00266055592972558
cold,fire,0.0893218022879143,0.0654813324853644,0.0185706018863563,0.11267661626194,0.108821809261436,0.0373092210310427,0.0715125882303937
teeth,fire,0.0377512508429496,0.047749482695036,0.0412282532212154,0.00763221507357075,0.0708930962776394,0.0373027958194465,0.0335903004581929
keep,fire,0.00323101201818855,0.0176676580776361,-0.00942756960148761,0.0229114193907904,0.0449464778810802,0.0363508479097984,0.00859562997128184
ride,fire,-0.00116979924149923,-0.008522754175789,-0.016950438241929,0.0188146893810967,0.0337359655114883,0.0356930410810184,-0.00195707556953013
dog,fire,0.00495836998441116,0.00221274270004332,0.0372440636219854,0.00279200105143171,0.0474508410911265,0.0356490467516586,0.0118017943394679
pay,fire,-0.0035636140867433,0.0112957211333023,0.0209535640384832,-0.00819551135484308,0.0399693371588722,0.0348467972263225,0.00512253993254979
safe,fire,-0.00993995029637936,-0.00809340404001661,0.0158432717917682,-0.00844926500555457,0.0314810249056839,0.0341408617932295,-0.0026598368875456
emotion,fire,0.0708885884695719,0.0423398691363042,0.0755303955311952,0.0310072166516096,0.0889947035733311,0.0340531861261608,0.0549415174471702
clean,fire,0.0123020614756844,0.0284371002090692,-0.0441059101167064,0.0244454503852146,0.0383825119624742,0.0331128364741587,0.00526967548831546
care,fire,0.0197427469594878,0.024312468658167,0.00960627243106494,0.0239712388094869,0.0524968725536144,0.0330886908390627,0.0194081817145517
open,fire,0.0315774986848367,0.0524520140282394,0.0671246313212804,0.0124678676903603,0.0734740726739645,0.0325685697427853,0.0409055029311792
pull,fire,0.00031063656087043,-0.0053900470506665,-0.0200838027534015,0.00189726630372317,0.0267128399969954,0.032529326731864,-0.00581648673486859
need,fire,0.0752514840466863,0.0707743089110503,0.0782142995632873,0.0657061080150241,0.104400633732246,0.0319140835982337,0.072486550134012
cloth,fire,-0.0999781356248747,-0.0570817895388584,-0.0636358404857032,-0.137365993241711,-0.0579446045123256,0.0315708352104612,-0.0895154397227868
organize,fire,0.00039813452275165,0.020411686900966,0.00247030962176373,-0.0222975758202622,0.0317973154483267,0.0315516766420219,0.000245638806304797
air,fire,0.0625804629868506,0.0680272988969776,0.112237272859135,0.0307323564912867,0.0998385961784511,0.0314442483698887,0.0683943478085624
doctor,fire,0.0138498320082154,0.00857741040282378,-0.00413794342498325,0.0112155028627604,0.0385491256407189,0.0311729251785148,0.00737620046220407
wind,fire,0.0320428059101513,0.0739649736136757,0.00844067062495365,0.0315947128893237,0.0675884435304502,0.0310776527709241,0.0365107907595261
wheel,fire,-0.0171740987532387,-0.0177030085242974,-0.00491829398033224,0.00283654833973224,0.0213184907811178,0.0305582040106518,-0.00923971322953402
carry,fire,-0.0188491578951806,-0.0383676822139149,-0.0323254245447657,-0.00127864806529332,0.00754838238840104,0.0302536105681897,-0.0227052281797886
yellow,fire,0.142186857292518,0.148579923994868,0.0862904764329408,0.144700825629157,0.159874000207635,0.0294344793702639,0.130439520837371
fast,fire,0.0398547493928441,0.0601512987533426,0.137542772019172,-0.0127740343914239,0.0856161967578075,0.0294225003143239,0.0561936964434836
employ,fire,0.00211762658477882,0.00671497793421442,0.00522601381206576,-0.0112540245607817,0.0300509969328643,0.029349848490295,0.000701148442569318
fly,fire,0.0555496743101062,0.0269169718777925,0.0104659915470462,-0.015191607779241,0.0480485075159766,0.0286132500270506,0.019435257488926
investigate,fire,0.00141750676700905,0.00715076470975162,0.0109976423299317,-0.00145234975528741,0.0331219920576861,0.0285936010448349,0.00452839101285123
skin,fire,0.0125881012948807,0.00164603794255688,-0.0547257538454799,0.0137975284320843,0.0213105378451418,0.0279840593891313,-0.00667352154398952
car,fire,0.0414177870310231,0.0545833325838556,0.0496755004433569,0.0223495385130942,0.0698550553154532,0.0278485156726207,0.0420065396428324
emergency,fire,0.0162719246994731,0.0226833548961618,0.0174556663108354,0.0124331650805069,0.0450375408787546,0.0278265131320103,0.0172110277467443
steal,fire,0.00367124117993146,0.0486590024411167,0.00504188348284763,-0.0104782672145174,0.0394457688873084,0.0277223039149638,0.0117234649723446
christ,fire,0.00254252144663277,0.0125650937774036,0.00609199315405998,0.00210546904017244,0.0334380102419682,0.027611740887401,0.0058262693545672
drive,fire,-0.0289508780481275,-0.0262329081408994,-0.0179203219748748,-0.043936010456469,-0.00180534369920633,0.0274546859558864,-0.0292600296550927
electric,fire,0.0627899292125728,0.0717210043944153,0.0270390658589308,0.146804320783709,0.103878836718823,0.0267902566564162,0.0770885800624071
community,fire,-0.00778401826196209,0.0117671117438656,-0.00432094668705412,-0.005107853297384,0.0252410428973839,0.0266024695230175,-0.00136142662563364
boat,fire,0.0141414649921226,0.0102996576385143,0.053597876882665,0.00090265698313602,0.0461132746462814,0.0263778605221719,0.0197354141241095
red,fire,0.260693210875748,0.245068458577541,0.177399119226158,0.226638514287778,0.253730892759762,0.0262810670179559,0.227449825741806
pick,fire,-0.00050720969244739,-0.0075274294965961,-0.0169085018332628,-0.00922359215984121,0.0175087952431143,0.0260504785386512,-0.00854168329553687
woman,fire,-0.0306685563371773,-0.0102256126280405,-0.0237285885991949,-0.0578391341313541,-0.00466902454489071,0.025946448379051,-0.0306154729239417
money,fire,0.0342557127761424,0.0509505377609884,0.0544752206667115,0.00683888991543825,0.0621419392705852,0.0255118489907651,0.0366300902798201
plastic,fire,-0.0477146934658047,-0.0564468771686567,-0.0650899911191519,-0.00139161427578749,-0.0171517432632711,0.0255090507440791,-0.0426607940073502
