feauture,word,0,1,2,3,4,diff,other
act,fire,0.218854293146367,0.176375481504161,0.462397951457457,0.110245111555889,0.0974694490762552,0.311661867636789,0.150736083820668
weapon,fire,0.120176487586042,0.0644348131072622,0.337779298171677,0.0619750087446148,0.0265921031760466,0.269484695018186,0.0682946031534915
kill,fire,0.203249765251405,0.148845742950421,0.413669737265207,0.155689588482455,0.122704605969786,0.25604731160169,0.157622425663517
loud,fire,0.0536440298644807,0.0554895226268998,0.283109010408992,0.0259619021277341,0.119450858331049,0.219472432171451,0.0636365782375409
human,fire,0.151936308066312,0.0870924906683786,0.31085260070636,0.0599613630773749,0.135420462378135,0.20224994465881,0.10860265604755
noise,fire,-0.0115455230048781,0.0166719636034291,0.202744674715806,-0.035466016714018,0.0362435884972821,0.201268671620352,0.0014760030954538
gun,fire,0.0334215509817069,0.0111781664627191,0.214250408321423,0.00866380028165069,0.0210342267057335,0.195675972213471,0.0185744361079525
intent,fire,0.022079731040759,-0.00095110925933836,0.182766963542252,-0.0638645851775622,-0.00266140755439524,0.194116306279886,-0.0113493427376342
war,fire,0.0829526150853355,0.0658704296220938,0.245915889952613,0.0354202410574893,0.0470269839224024,0.188098322530782,0.0578175674218302
bullet,fire,0.023243403541843,0.00395619579362133,0.1679783733452,0.00746154258956867,0.0126242892492033,0.156157015551641,0.0118213577935591
danger,fire,0.30258451839938,0.282055591863911,0.420683006902904,0.279258579613339,0.236510041119971,0.145580824153754,0.27510218274915
metal,fire,0.157159383914723,0.0733087153223988,0.283664153145464,0.229261913863576,0.0995656180458645,0.143840245358824,0.139823907786641
military,fire,0.0552702591433304,0.035137463517863,0.183998389438747,0.0320137913996041,0.0412881852354751,0.143070964614679,0.0409274248240682
move,fire,0.0813791424651416,0.0550678139235577,0.185987783896574,-0.0214688309495676,0.0657290500499,0.140810990024316,0.045176793872258
hunt,fire,0.0712822501643692,0.0419194041262864,0.191709287447303,0.037730325646071,0.0642762384127843,0.137907232859925,0.0538020545873778
force,fire,0.0460751823629227,0.081139042368437,0.188787431327497,-0.00163823293118514,0.120893093063263,0.127170160111637,0.0616172712158593
police,fire,0.0318643632407732,0.0285719343718904,0.174098188014054,0.00223838206101363,0.127094959892132,0.126655778122602,0.0474424098914524
sound,fire,-0.102295370002966,-0.0851389379764374,0.0429506700491435,-0.0904571201667822,-0.0438638151125657,0.123389480863831,-0.0804388108146877
trigger,fire,0.0146972494394147,-0.00117598294893236,0.126440585497502,0.0058143515827437,0.00530472176267094,0.120280500538528,0.00616008495897424
protect,fire,0.0358348019011636,0.00255515562209237,0.152642452442884,0.0362581234495606,0.0624904738706133,0.118357813732027,0.0342846387108575
hand,fire,0.0339675588724489,-0.00968257792050892,0.146197192861891,0.069792338840218,0.0245041460884514,0.116551826391739,0.0296453664701524
hit,fire,-0.0250301717214416,-0.0169512062350175,0.077565625769525,-0.0389086120856578,-0.0361892468387093,0.106835434989732,-0.0292698092202066
shoot,fire,0.0159250791194264,-0.00204090501487662,0.110484551805091,0.00565391402056589,0.00510825695614036,0.104322965534777,0.006161586270314
communicate,fire,0.00201973338524435,-0.0383506770757823,0.084422447956953,-0.0279446603915412,0.00158689858368761,0.100094624331551,-0.0156721763745979
fast,fire,0.0398547493928441,0.0601512987533426,0.137542772019172,-0.0127740343914239,0.0856161967578075,0.094330719391029,0.0432120526281426
give,fire,0.00445027006819869,-0.0290255409721491,0.0813898186564654,-0.0119656658065764,0.0125896108716959,0.0873776501161731,-0.00598783145970774
legal,fire,0.00249568983815583,-0.00250361852158144,0.0767476262734231,-0.0305143701660127,-0.00955956606134694,0.0867680925011194,-0.0100204662276963
pitch,fire,-0.0492333295060895,-0.0501302510836173,0.0309073265460937,-0.0639623708117369,-0.0572071923701242,0.0860406124889857,-0.055133285942892
crime,fire,0.0265416190050069,0.073738502175028,0.142213229809944,0.00882920928146027,0.119065623579872,0.0851694912996025,0.0570437385103419
fight,fire,0.0749537699188828,0.0738544081181821,0.146240626819581,0.0358845668575909,0.0602796856545528,0.0849975191822784,0.0612431076373021
heave,fire,0.00269418763753925,-0.0257110106260605,0.0783392685517276,0.010928484307269,-0.0143219046488832,0.0849418293842615,-0.00660256083253387
wear,fire,-0.112046044955876,-0.110232788397251,-0.02633703205611,-0.159766969180437,-0.0608885359203154,0.0843965525573599,-0.11073358461347
end,fire,0.0377704577324659,-0.0206707269273105,0.0801968561324467,-0.00317064630860113,-0.015179439762434,0.0805094449489166,-0.000312588816469931
talk,fire,-0.0577666238497816,-0.0910302796031832,0.00973487421908768,-0.0625206850417033,-0.0688186614027675,0.0797689366934466,-0.0700340624743589
arm,fire,-0.0241296927078175,-0.0259253858679423,0.0478221207610706,-0.049689962325334,-0.0141838422127691,0.0763043415395363,-0.0284822207784657
anger,fire,0.0946432725146925,0.0625211139585814,0.142516012027066,0.0336203315888057,0.0748487065998096,0.0761076558615933,0.0664083561654723
point,fire,0.0338341681093744,-0.00445541207448829,0.0938755459541434,0.0378739475976932,0.0120454428388277,0.0740510093362917,0.0198245366178517
voluntary,fire,0.0214064611913183,0.0567603931025396,0.0988267985375264,-0.00117189989353005,0.0269151555545152,0.0728492710488156,0.0259775274887108
child,fire,-0.0142697161888615,-0.0456312121879824,0.0395591304745658,-0.0464868024691245,-0.0231290606835035,0.0719383283569337,-0.032379197882368
sharp,fire,0.0505675219819705,0.0258498529918436,0.10249527043649,0.0178783265260234,0.0307395113973916,0.0712364672121822,0.0312588032243073
change,fire,-0.030685618331568,-0.0333200237764889,0.0339697266766188,-0.0395164902487917,-0.0453346298978583,0.0711839172402955,-0.0372141905636767
direct,fire,-0.0148919969982923,-0.057412268350205,0.0373647834161497,-0.018523872471653,-0.040703281205274,0.0702476381725058,-0.0328828547563561
object,fire,0.180536934376442,0.157247184504889,0.211406942678542,0.114482440922409,0.124909412213205,0.067112949674306,0.144293993004236
contact,fire,-0.0117170231655097,-0.00515406577385281,0.0553893252542954,-0.0261691385051668,-0.00176444668226175,0.0665904937859932,-0.0112011685316978
create,fire,0.0384314238788384,0.0339435833918568,0.103211060233053,0.0460366288801168,0.0290409699770721,0.066347908701082,0.036863151531971
mouth,fire,0.0321975281544438,0.043954897273798,0.100050548436727,0.00459525680016192,0.0542831300988887,0.0662928453549037,0.0337577030818231
army,fire,0.00274649361633951,-0.0129281314184649,0.0609641030124372,-0.00398013998605911,0.00257750753353872,0.0638601705760987,-0.00289606756366146
wound,fire,0.0405853733656541,0.0245427173173925,0.0913135515496533,0.0258701596700051,0.0217835781147944,0.0631180944326918,0.0281954571169615
