feauture,word,0,1,2,3,4,diff,other
destroy,fire,0.214764341515805,0.297293263922509,0.171362031584996,0.195663167932673,0.203689753932752,0.100923440180953,0.196369823741557
build,fire,0.144506166615615,0.223827583593345,0.135125175733826,0.0830872104602786,0.154735599052902,0.0944640456276895,0.129363537965655
cause,fire,0.021339956361453,0.102885812249139,0.0120169222208054,0.0149156339623311,0.0524939984254813,0.077694184506621,0.0251916277425177
break,fire,0.0961295083412726,0.148302452689151,0.0889272163105487,0.0531112479105542,0.0731797174847863,0.0704655301773605,0.0778369225117905
person,fire,0.06262703728862,0.238627557087164,0.0311033035396635,0.207613021257224,0.392770610171665,0.0650990640228709,0.173528493064293
event,fire,0.00999131747503862,0.0568169794567186,-0.0292874055298957,0.0130924741594898,0.00859888392210327,0.0562181619500346,0.000598817506684013
hurt,fire,0.203472406470429,0.246119607817812,0.251291018615466,0.165635176118145,0.140155039585747,0.0559811976203649,0.190138410197447
burn,fire,0.405276013898473,0.400127550176158,0.18074852564846,0.496949878060679,0.329138223267021,0.0470993899574995,0.353028160218658
paper,fire,0.0306469155806759,0.0572602150595442,0.00501915398549466,-0.00443666966768774,0.0135342517668638,0.0460693021432075,0.0111909129163366
pain,fire,0.0878181440526446,0.135387351444851,0.123247856110465,0.0684914753360237,0.0807039368900034,0.0453219983475666,0.0900653530972841
hot,fire,0.42197378482279,0.417883493425457,0.18778975313827,0.537550913694872,0.354147391742836,0.0425180325757649,0.375365460849692
storm,fire,0.0619093585278975,0.0954645305657251,0.0288163107475117,0.0468916626139501,0.0769200162810419,0.0418301935231248,0.0536343370426003
bad,fire,0.0475459719608471,0.0774657135190086,0.054135552454962,0.00378733266108025,0.039650927454005,0.041185767386285,0.0362799461327236
steal,fire,0.00367124117993146,0.0486590024411167,0.00504188348284763,-0.0104782672145174,0.0394457688873084,0.0392388458572242,0.00942015658389251
wind,fire,0.0320428059101513,0.0739649736136757,0.00844067062495365,0.0315947128893237,0.0675884435304502,0.039048315374956,0.0349166582387197
food,fire,0.0834755931018812,0.114630370513746,-0.0295041672494788,0.235119707894667,0.0137063372641427,0.0389310027609432,0.0756993677528029
fire,fire,0.566681255151686,0.550547750182446,0.43203081325395,0.630923943199507,0.42041776171296,0.0380343068529202,0.512513443329526
smell,fire,0.114836833168592,0.126705568279104,0.0193918644557902,0.135435845812698,0.0964686699113936,0.0351722649419851,0.0915333033371184
house,fire,0.0700459213607782,0.123585951642131,0.0483057943204781,0.12473614585676,0.11683337212266,0.0336056432269618,0.0899803084151693
